SEED4_INIT=0000000a
STACKSTORE cycle=15328 addr=00025728 strb=f data=00000000
STACKSTORE cycle=15345 addr=0002573c strb=f data=00000214
STACKSTORE cycle=15354 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=15363 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=16328 addr=0002573c strb=f data=00000204
STACKSTORE cycle=16337 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=16346 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=16360 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=16369 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=16378 addr=00025728 strb=f data=00000000
STACKSTORE cycle=16697 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=16720 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=16729 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=16738 addr=00025728 strb=f data=00000000
STACKSTORE cycle=16761 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=16770 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=16779 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=17523 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=17540 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=17549 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=17558 addr=00025728 strb=f data=00000000
STACKSTORE cycle=17575 addr=0002573c strb=f data=00000214
STACKSTORE cycle=17584 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=17593 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=18581 addr=0002573c strb=f data=00000204
STACKSTORE cycle=18590 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=18599 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=18613 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=18622 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=18631 addr=00025728 strb=f data=00000000
STACKSTORE cycle=18950 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=18973 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=18982 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=18991 addr=00025728 strb=f data=00000000
STACKSTORE cycle=19014 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=19023 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=19032 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=19776 addr=00025734 strb=f data=ffff4000
