SEED4_INIT=0000000a
STACKSTORE cycle=20699 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=20708 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=20717 addr=00025728 strb=f data=00000000
STACKSTORE cycle=21045 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=21068 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=21077 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=21086 addr=00025728 strb=f data=00000000
STACKSTORE cycle=21109 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=21118 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=21127 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=21869 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=21886 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=21895 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=21904 addr=00025728 strb=f data=00000000
STACKSTORE cycle=21921 addr=0002573c strb=f data=00000214
STACKSTORE cycle=21930 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=21939 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=22869 addr=0002573c strb=f data=00000204
STACKSTORE cycle=22878 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=22887 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=22901 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=22910 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=22919 addr=00025728 strb=f data=00000000
STACKSTORE cycle=23236 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=23259 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=23268 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=23277 addr=00025728 strb=f data=00000000
STACKSTORE cycle=23300 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=23309 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=23318 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=24060 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=24077 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=24086 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=24095 addr=00025728 strb=f data=00000000
STACKSTORE cycle=24112 addr=0002573c strb=f data=00000214
STACKSTORE cycle=24121 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=24130 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=25060 addr=0002573c strb=f data=00000204
STACKSTORE cycle=25069 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=25078 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=25092 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=25101 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=25110 addr=00025728 strb=f data=00000000
STACKSTORE cycle=25438 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=25461 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=25470 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=25479 addr=00025728 strb=f data=00000000
STACKSTORE cycle=25502 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=25511 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=25520 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=26262 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=26279 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=26288 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=26297 addr=00025728 strb=f data=00000000
STACKSTORE cycle=26314 addr=0002573c strb=f data=00000214
STACKSTORE cycle=26323 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=26332 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=27262 addr=0002573c strb=f data=00000204
STACKSTORE cycle=27271 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=27280 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=27294 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=27303 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=27312 addr=00025728 strb=f data=00000000
STACKSTORE cycle=27640 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=27663 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=27672 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=27681 addr=00025728 strb=f data=00000000
STACKSTORE cycle=27704 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=27713 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=27722 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=28464 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=28481 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=28490 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=28499 addr=00025728 strb=f data=00000000
STACKSTORE cycle=28516 addr=0002573c strb=f data=00000214
STACKSTORE cycle=28525 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=28534 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=29482 addr=0002573c strb=f data=00000204
STACKSTORE cycle=29491 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=29500 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=29514 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=29523 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=29532 addr=00025728 strb=f data=00000000
STACKSTORE cycle=29849 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=29872 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=29881 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=29890 addr=00025728 strb=f data=00000000
STACKSTORE cycle=29913 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=29922 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=29931 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=30684 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=30701 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=30710 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=30719 addr=00025728 strb=f data=00000000
STACKSTORE cycle=30736 addr=0002573c strb=f data=00000214
STACKSTORE cycle=30745 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=30754 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=31702 addr=0002573c strb=f data=00000204
STACKSTORE cycle=31711 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=31720 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=31734 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=31743 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=31752 addr=00025728 strb=f data=00000000
STACKSTORE cycle=32080 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=32103 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=32112 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=32121 addr=00025728 strb=f data=00000000
STACKSTORE cycle=32144 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=32153 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=32162 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=32915 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=32932 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=32941 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=32950 addr=00025728 strb=f data=00000000
STACKSTORE cycle=32967 addr=0002573c strb=f data=00000214
STACKSTORE cycle=32976 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=32985 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=33945 addr=0002573c strb=f data=00000204
STACKSTORE cycle=33954 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=33963 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=33977 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=33986 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=33995 addr=00025728 strb=f data=00000000
STACKSTORE cycle=34312 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=34335 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=34344 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=34353 addr=00025728 strb=f data=00000000
STACKSTORE cycle=34376 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=34385 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=34394 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=35170 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=35187 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=35196 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=35205 addr=00025728 strb=f data=00000000
STACKSTORE cycle=35222 addr=0002573c strb=f data=00000214
STACKSTORE cycle=35231 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=35240 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=36188 addr=0002573c strb=f data=00000204
STACKSTORE cycle=36197 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=36206 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=36220 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=36229 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=36238 addr=00025728 strb=f data=00000000
STACKSTORE cycle=36566 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=36589 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=36598 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=36607 addr=00025728 strb=f data=00000000
STACKSTORE cycle=36630 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=36639 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=36648 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=37401 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=37418 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=37427 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=37436 addr=00025728 strb=f data=00000000
STACKSTORE cycle=37453 addr=0002573c strb=f data=00000214
STACKSTORE cycle=37462 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=37471 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=38401 addr=0002573c strb=f data=00000204
STACKSTORE cycle=38410 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=38419 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=38433 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=38442 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=38451 addr=00025728 strb=f data=00000000
STACKSTORE cycle=38768 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=38791 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=38800 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=38809 addr=00025728 strb=f data=00000000
STACKSTORE cycle=38832 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=38841 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=38850 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=39592 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=39609 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=39618 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=39627 addr=00025728 strb=f data=00000000
STACKSTORE cycle=39644 addr=0002573c strb=f data=00000214
STACKSTORE cycle=39653 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=39662 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=40615 addr=0002573c strb=f data=00000204
STACKSTORE cycle=40624 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=40633 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=40647 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=40656 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=40665 addr=00025728 strb=f data=00000000
STACKSTORE cycle=41004 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=41027 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=41036 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=41045 addr=00025728 strb=f data=00000000
STACKSTORE cycle=41068 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=41077 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=41086 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=41828 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=41845 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=41854 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=41863 addr=00025728 strb=f data=00000000
PROBE cycle=1000000 pc=0000553c if_id=00000000 ex_mem=00005538 rstate=0 wstate=0 arvalid=0 rvalid=0 awvalid=0 wvalid=0 bvalid=0 x16=bebc2000 x17=00000000 x18=00000000 x20=00000000 x21=00000000 x22=000001a2
WBTRACE cycle=5000054 pc=00005624 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000058 pc=00005628 rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000686 pc=00005cf0 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000824 pc=00005890 rd=20 data=447a0000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000876 pc=000058b8 rd=21 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5000902 pc=000058cc rd=20 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001484 pc=00005b58 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001488 pc=00005b5c rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001640 pc=000053f4 rd=20 data=4c3ebc20 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001692 pc=0000541c rd=21 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5001707 pc=00005430 rd=20 data=00000000 wsel=0 ramrop=0 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5002291 pc=00005624 rd=20 data=00000000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
WBTRACE cycle=5002295 pc=00005628 rd=21 data=447a0000 wsel=1 ramrop=1 addr=00000000 ren=0 rvalid=0
