SEED4_INIT=0000000a
STACKSTORE cycle=50812 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=50826 addr=00025728 strb=f data=00000000
STACKSTORE cycle=51727 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=51755 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=51769 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=51783 addr=00025728 strb=f data=00000000
STACKSTORE cycle=51811 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=51825 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=51839 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=53635 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=53663 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=53677 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=53691 addr=00025728 strb=f data=00000000
STACKSTORE cycle=53719 addr=0002573c strb=f data=00000214
STACKSTORE cycle=53733 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=53747 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=56249 addr=0002573c strb=f data=00000204
STACKSTORE cycle=56263 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=56277 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=56291 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=56305 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=56319 addr=00025728 strb=f data=00000000
STACKSTORE cycle=57220 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=57248 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=57262 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=57276 addr=00025728 strb=f data=00000000
STACKSTORE cycle=57304 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=57318 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=57332 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=59128 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=59156 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=59170 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=59184 addr=00025728 strb=f data=00000000
STACKSTORE cycle=59212 addr=0002573c strb=f data=00000214
STACKSTORE cycle=59226 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=59240 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=61795 addr=0002573c strb=f data=00000204
STACKSTORE cycle=61809 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=61823 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=61837 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=61851 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=61865 addr=00025728 strb=f data=00000000
STACKSTORE cycle=62766 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=62794 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=62808 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=62822 addr=00025728 strb=f data=00000000
STACKSTORE cycle=62850 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=62864 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=62878 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=64674 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=64702 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=64716 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=64730 addr=00025728 strb=f data=00000000
STACKSTORE cycle=64758 addr=0002573c strb=f data=00000214
STACKSTORE cycle=64772 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=64786 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=67341 addr=0002573c strb=f data=00000204
STACKSTORE cycle=67355 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=67369 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=67383 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=67397 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=67411 addr=00025728 strb=f data=00000000
STACKSTORE cycle=68364 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=68392 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=68406 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=68420 addr=00025728 strb=f data=00000000
STACKSTORE cycle=68448 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=68462 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=68476 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=70297 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=70325 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=70339 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=70353 addr=00025728 strb=f data=00000000
STACKSTORE cycle=70381 addr=0002573c strb=f data=00000214
STACKSTORE cycle=70395 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=70409 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=72964 addr=0002573c strb=f data=00000204
STACKSTORE cycle=72978 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=72992 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=73006 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=73020 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=73034 addr=00025728 strb=f data=00000000
STACKSTORE cycle=73987 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=74015 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=74029 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=74043 addr=00025728 strb=f data=00000000
STACKSTORE cycle=74071 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=74085 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=74099 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=75895 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=75923 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=75937 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=75951 addr=00025728 strb=f data=00000000
STACKSTORE cycle=75979 addr=0002573c strb=f data=00000214
STACKSTORE cycle=75993 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=76007 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=78509 addr=0002573c strb=f data=00000204
STACKSTORE cycle=78523 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=78537 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=78551 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=78565 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=78579 addr=00025728 strb=f data=00000000
STACKSTORE cycle=79532 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=79560 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=79574 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=79588 addr=00025728 strb=f data=00000000
STACKSTORE cycle=79616 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=79630 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=79644 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=81440 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=81468 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=81482 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=81496 addr=00025728 strb=f data=00000000
STACKSTORE cycle=81524 addr=0002573c strb=f data=00000214
STACKSTORE cycle=81538 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=81552 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=84054 addr=0002573c strb=f data=00000204
STACKSTORE cycle=84068 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=84082 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=84096 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=84110 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=84124 addr=00025728 strb=f data=00000000
STACKSTORE cycle=85077 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=85105 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=85119 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=85133 addr=00025728 strb=f data=00000000
STACKSTORE cycle=85161 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=85175 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=85189 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=86985 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=87013 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=87027 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=87041 addr=00025728 strb=f data=00000000
STACKSTORE cycle=87069 addr=0002573c strb=f data=00000214
STACKSTORE cycle=87083 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=87097 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=89599 addr=0002573c strb=f data=00000204
STACKSTORE cycle=89613 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=89627 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=89641 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=89655 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=89669 addr=00025728 strb=f data=00000000
STACKSTORE cycle=90622 addr=00025730 strb=f data=42c80000
STACKSTORE cycle=90650 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=90664 addr=0002572c strb=f data=4c3ebc20
STACKSTORE cycle=90678 addr=00025728 strb=f data=00000000
STACKSTORE cycle=90706 addr=0002573c strb=f data=0000020c
STACKSTORE cycle=90720 addr=00025738 strb=f data=ffff4008
STACKSTORE cycle=90734 addr=00025724 strb=f data=447a0000
STACKSTORE cycle=92530 addr=00025734 strb=f data=ffff4000
STACKSTORE cycle=92558 addr=00025730 strb=f data=42c80000
